2eia0myWFgoHuttJytCxgX|The Battle Of Los Angeles|['2d0hyoQ5ynDBnkvAbJKORj']|['7lmeHLHBe4nmXzuXc0HDjk', '1wsRitfRRtWyEapl0q22o8', '1hR0fIFK2qRG3f3RF70pb7', '2lbASgTSoDO7MTuLAXlTW0', '1MQTmpYOZ6fcMQc56Hdo7T', '2LXPNLSMAauNJfnC58lSqY', '3moeHk8eIajvUEzVocXukf', '4llunZfVXv3NvUzXVB3VVL', '21Mq0NzFoVRvOmLTOnJjng', '6s2FgJbnnMwFTpWJZzvb6z', '7o2Razxnl33Jrgz4PpMYNa', '3Hxu3Ey1TV9mZ5XqMXckiS']
4LaRYkT4oy47wEuQgkLBul|Rage Against The Machine|['2d0hyoQ5ynDBnkvAbJKORj']|['6ZU9RJIZ0fNaFuQM57bDIA', '3FUS56gKr9mVBmzvlnodlh', '3tTL7jlSkowXidYeafFtwG', '2vuDdXqekkDCSdawJyUpT6', '11cxKUEgnVAlesUKt4e3br', '1IDAJagxB9AQjjYXaiDK1j', '6zbHSDJjgrNdfIxPyGfPBt', '3YEk8mVdMI7rxtfimlUd1G', '0WK0EqiidP6WEDOHK34HEe', '1zVE9JBBy8j0KmlbM8Xwhi']
4evw6IBex3N8x1oA2axMTH|Do It for Love|['77tT1kLj6mCWtFNqiOmP9H']|['2SwgVZn9S4NGueAaEAryf1', '0QCQ1Isa0YPVyIbs6JwpO1', '3kIBEFhsZOeeKGebxRraOb', '5dNDRw6qjDcnbW3luRhElU', '561UU4MvlsCenN1x7leYCh', '5ytl6Ay8G7ucmujk9R3S0c', '0zjqm0VWOQT9is5gT9CTib', '5UMTzSiB8mMu9vuo2PZkhd', '6Uz62Rd9XadpjT8Zebgwq2', '7IYXfiXsiMdhcboT6Vw7Qu', '0dT5eHAqMNchKMw06dgyFW', '3nvfZxZcdZ5rIy8bxAr5fX', '2nWM35FPxkYAWHHv9hrczL', '1pxJE4N74aGkC6BbIUhq3P']
0eaPZK3nTV2Ei075j2t6Na|Fridays Child|['2U6gqwyl9F33YxawnFrZG7']|['5oLsi3F0C26MGnXJcnzQyB', '7xGWDXdFKvsapcORfJuloO', '0AqhwhQv1xnqCH9wzlQ7PE', '4mZsyuthp695XQWwb2g3qe', '5nvUqq0fvB0GN6mqzDc9Ey', '4KepeWvq5KfZUevd0cQ70T', '3VXoePG7JjYl2ay8fzLhtG', '41YN3uBz1PpFNZtmAAaSKS', '2nO4uKyReZHH7JS61yT2nS', '4L4Ug6ah2UXH3JDlpeduRf', '2JgPlDkLbdcRk5Jp3e7Pgm']
2yxoWG32Id6PzkER95aCtY|Dart To The Heart|['4sh4MHP7lhrSUakxwZzwqz']|['5Kz6iIkOBZepijORtkfEvj', '6uu5fXS1JPfX3pGArifC8A', '6AGrDsrNVFeTTl4sQHfqsY', '1MdS31xYweAsuwj7fdR8xA', '0rHW20CX7izpkFLVj6RhtM', '31v1dqATMAtTPlZjOE3Tou', '4M2EK2o9Zgy2jeqLVifARM', '59gijFhkwYNY2IAw0wg2PX', '1dVT2CbuH0j9rKco5dvkLI', '3bM7rvHfGmCxRPOiPE177Y', '2IHBrlBh7aurAatdXG2yTb', '7rrMXOKZNmoO10wgvwNj5H']
5JnLg2nd43M3NS4NfVrIdQ|Scarlet's Walk|['1KsASRNugxU85T0u6zSg32']|['6LiqMOJNu3pMKO6M1cTsgA', '7Kwmac3lkTQ8tPyAVQ0L8G', '5AYTqYsVCLGRZn260BdzhA', '23x2sdNqlVYtl5gWGyNFde', '5lRtnfrCah6ntObtZLbZTU', '6SlnEnfXXRN56646HSFcO5', '76zFGcQrel57hYKVLseQDN', '78ooTgHdUvkvmKqm5bw293', '5uvY2yM4HMKdwijMCPrd4x', '5qGqSVrQC55BPAKhJj5Ftv', '3UkYhZrL4RrjQbxxth6uQ0', '0AByf8LXqfnKa1UW7kbxsr', '1ymMLSCjjk9tuVC0ZhfmBh', '5p8pLI3XwrwiIdxdw2Rlgd', '2tu3GBzpVQfD8gtYsIm2o5', '4lDMOr82Ks0qcXSe9hp4f0', '1MjpQ68nD7GhX2GusCyPD5', '0UxGJ0eyqOdcPrOWCNJtmp']
747XdfKqkymjuvap8Lm1Hv|Rosaryville|['1NZA6DefBtQo2PgcmBtnTg']|['6RovFMOG0avksTizHRlbUi', '1PnJ0wTwdDQ2oTMlhLg3Ab', '4xSxXbvS2ImooFqVW0sM2Y', '2w5gwaI27Ek8fSCQdFiDNC', '75qoLt38t0tJMfArhH8n0f', '31Yy1JrQt97tWw0XOdfiLD', '3Lg2CVWLCtZQmVZNrPhck8', '58RIKzxWYD4CNGuRoP4jSL', '6RraLU76rC8zfIazhQnbXh', '4iGKOFTplr4vOjDAbGUKLU']
1xNWaXNMS8798hlEBxdVjL|New Life Faded|['3jfxxO6JNrzzhov82l1wX2']|['2z9z18lidxD3euusC3UaLx', '2nVW5BVneWEVqhfOzyNxwo', '2ZkLJzOAIa8mTRbNqMchGz', '6zLpXc5KrSN53HTviwOfgL', '0C5pv62j5dcazPrml3oGnE', '4FKggErzionSD7MdrEJPf2', '7tPDxnbL6pqGd8wesq9HLl']
7bYhJeHWcA2fQcrdLEI5gJ|Waste Of Mind|['6SiyKSeJo6gcsS2NvuAbsl']|['4NAm3aWUkQlQcAll13HVEt', '4VJE2QEGdEYa1I6sqbqC0r', '1ThKFoMgBmSy6IzZCx7RkM', '0Sfxy4ROJxdTK92CIQqcDJ', '399Y2XppdMAIHU0eWjw0u3', '2GtvF6M8PbpuWRvfdq5BK3', '32DdumVsgJrE6JWjZQPZQ0', '5XtlUa7sa0GqmrBMcqpNG3', '4piMTKQtY9yMu11VowfZ1E', '2GqczyjNgDuRm1ckhrhQCR', '5vwjJx6VnVj8Y43bQSb26k', '4smDo9NdHNLe8CFzX9KptZ', '6GoC5TMgK4S08xHutcl9SS', '5zy5GyMMR1ki2yJdQcA2zK']
16707paUqnfatdD8OwN3Dc|Swing Set|['0AiTwNtYX8m4uhfU7rJ8RD']|['6x7c49NEWt9cM9nHiSntQd', '0YSYfKMk0JBl7mmWzSsfPe', '382zGDGUbJK1SMzXK3xucw', '4H3tjdqHW2CG17lsytVVqa', '1oIwjU5cRePn7WgKRBe3Bm', '0NS9gap3TNaTQp1wQEnTYt']
