id|name|album|albums_ids|artists_ids|explicit|danceability|energy|key|mode|acousticness|instrumentalness|valence|release_date|spotify_link
1wsRitfRRtWyEapl0q22o8|Guerrilla Radio|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|1|0.6|0.96|11|1|0.01|0.0|0.49|1999-11-02|https://open.spotify.com/embed/track/1wsRitfRRtWyEapl0q22o8
1hR0fIFK2qRG3f3RF70pb7|Calm Like a Bomb|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.32|0.97|7|1|0.02|0.0|0.37|1999-11-02|https://open.spotify.com/embed/track/1hR0fIFK2qRG3f3RF70pb7
2lbASgTSoDO7MTuLAXlTW0|Mic Check|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|1|0.44|0.97|11|0|0.16|0.0|0.57|1999-11-02|https://open.spotify.com/embed/track/2lbASgTSoDO7MTuLAXlTW0
1MQTmpYOZ6fcMQc56Hdo7T|Sleep Now In the Fire|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.43|0.93|2|1|0.0|0.1|0.54|1999-11-02|https://open.spotify.com/embed/track/1MQTmpYOZ6fcMQc56Hdo7T
2LXPNLSMAauNJfnC58lSqY|Born of a Broken Man|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.3|0.85|2|1|0.05|0.0|0.19|1999-11-02|https://open.spotify.com/embed/track/2LXPNLSMAauNJfnC58lSqY
3moeHk8eIajvUEzVocXukf|Born As Ghosts|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.42|0.98|9|1|0.0|0.0|0.48|1999-11-02|https://open.spotify.com/embed/track/3moeHk8eIajvUEzVocXukf
4llunZfVXv3NvUzXVB3VVL|Maria|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.28|0.87|11|0|0.01|0.0|0.62|1999-11-02|https://open.spotify.com/embed/track/4llunZfVXv3NvUzXVB3VVL
21Mq0NzFoVRvOmLTOnJjng|Voice of the Voiceless|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.44|0.88|7|1|0.02|0.01|0.42|1999-11-02|https://open.spotify.com/embed/track/21Mq0NzFoVRvOmLTOnJjng
6s2FgJbnnMwFTpWJZzvb6z|New Millennium Homes|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.45|0.86|9|1|0.0|0.0|0.76|1999-11-02|https://open.spotify.com/embed/track/6s2FgJbnnMwFTpWJZzvb6z
7o2Razxnl33Jrgz4PpMYNa|Ashes In the Fall|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|1|0.46|0.7|7|1|0.01|0.0|0.66|1999-11-02|https://open.spotify.com/embed/track/7o2Razxnl33Jrgz4PpMYNa
3Hxu3Ey1TV9mZ5XqMXckiS|War Within a Breath|The Battle Of Los Angeles|2eia0myWFgoHuttJytCxgX|['2d0hyoQ5ynDBnkvAbJKORj']|0|0.4|0.96|6|1|0.0|0.03|0.17|1999-11-02|https://open.spotify.com/embed/track/3Hxu3Ey1TV9mZ5XqMXckiS
6ZU9RJIZ0fNaFuQM57bDIA|Bombtrack|Rage Against The Machine|4LaRYkT4oy47wEuQgkLBul|['2d0hyoQ5ynDBnkvAbJKORj']|1|0.48|0.85|4|0|0.01|0.0|0.67|1992-11-03|https://open.spotify.com/embed/track/6ZU9RJIZ0fNaFuQM57bDIA
